주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
19005,액화가스취급소,646,0,0.0
04041,동물미용실,646,547,0.846749226006192
03032,산후조리원,645,558,0.8651162790697674
09108,요양소,640,0,0.0
04405,출판사,633,555,0.8767772511848341
04103,에어로빅장,631,457,0.7242472266244057
19011,액화석유가스판매소,622,0,0.0
21105,부화장,616,265,0.4301948051948052
07105,쇼핑센터,615,0,0.0
27008,유원지에 부수되는 시설,613,0,0.0
03100,공공시설,598,0,0.0
12105,청소년수련관,593,0,0.0
12102,유스호스텔,590,0,0.0
26004,봉안당,588,430,0.7312925170068028
12202,청소년야영장,569,0,0.0
31003,샤워실,568,3,0.00528169014084507
03031,안마원,566,536,0.9469964664310954
10100,학교,562,0,0.0
13005,테니스장,547,0,0.0
16004,유기장,542,245,0.45202952029520294
03203,부동산중개사무소,537,2,0.0037243947858473
27004,관망탑,537,0,0.0
04204,기도원,537,0,0.0
30005,폐기물감량화시설,535,0,0.0
05304,운동장,529,0,0.0
04046,복합유통게임제공업소,519,457,0.8805394990366089
19008,고압가스충전저장소,518,0,0.0
13009,당구장,490,0,0.0
27009,관광지에 부수되는 시설,484,0,0.0
24001,방송국,482,0,0.0
16009,유원시설업의시설,467,0,0.0
31005,취사시설,465,0,0.0
15207,소형호텔,461,0,0.0
07202,게임제공업소,456,0,0.0
10399,기타연구소,448,0,0.0
07211,인터넷컴퓨터게임시설제공업의시설,444,0,0.0
12199,기타생활권수련시설,443,0,0.0
13014,놀이형시설,438,0,0.0
15001,고시원,433,242,0.558891454965358
21000,동물및식물관련시설,427,0,0.0
05501,동물원,425,0,0.0
17304,물품 도장공장,424,0,0.0
15000,숙박시설,421,0,0.0
19017,고압가스판매소,413,0,0.0
03107,방송국,411,0,0.0
05303,체육관,395,0,0.0
13102,구기장,387,0,0.0
03102,경찰서,382,0,0.0
02101,일반기숙사,375,0,0.0
04026,청소년게임제공업소,375,0,0.0
05502,식물원,375,0,0.0
26003,묘지에 부수되는 건축물,370,0,0.0
05403,과학관,369,0,0.0
24101,방송국,367,0,0.0
04101,테니스장,363,0,0.0
16000,위락시설,361,0,0.0
13012,물놀이형시설,360,218,0.6055555555555555
12399,기타야영장시설,353,0,0.0
03028,조산원,352,0,0.0
10299,기타교육원,350,0,0.0
03300,전기자동차충전소,347,0,0.0
04036,제과점,347,0,0.0
19013,유독물보관소,332,0,0.0
14000,업무시설,318,0,0.0
19012,액화석유가스저장소,314,0,0.0
26002,납골당,313,0,0.0
04104,볼링장,310,0,0.0
18003,물류터미널,309,0,0.0
19018,고압가스저장소,309,0,0.0
05407,문화관,308,0,0.0
05599,"기타동,식물원",301,0,0.0
07203,멀티미디어문화컨텐츠설비제공업소,297,0,0.0
21207,실험동물사육시설,295,0,0.0
21002,도계장,292,0,0.0
03113,지구대,285,0,0.0
03030,수퍼마켓,282,0,0.0
11100,아동관련시설,280,0,0.0
03034,도시가스배관시설,277,0,0.0
13109,궁도장,277,0,0.0
04304,비디오물감상실,271,0,0.0
24005,데이터센터,271,0,0.0
10302,시험소,267,0,0.0
21205,가축시장,249,0,0.0
05400,전시장,246,0,0.0
07100,소매시장,246,0,0.0
05405,산업전시장,244,0,0.0
04100,운동시설,242,0,0.0
07301,농수산물도매시장,240,0,0.0
04106,실내낚시터,230,0,0.0
20008,정비학원,224,0,0.0
23203,교도소,219,0,0.0
14203,신문사,216,0,0.0
04404,결혼상담소,213,0,0.0
21201,가축용운동시설,211,0,0.0
19014,유독물저장소,207,0,0.0
04039,복합유통게임제공업의시설,204,0,0.0
17309,물품 수리공장,179,0,0.0
19019,도료류판매소,177,0,0.0
17306,물품 재봉공장,175,0,0.0
21200,가축시설,175,0,0.0
05102,음악당,175,0,0.0
07302,농수산물공판장,166,0,0.0
12302,화장실,162,0,0.0
19007,유독물보관저장시설,159,0,0.0
05302,자동차경기장,148,0,0.0
02102,임대형기숙사,148,0,0.0
19020,도시가스공급시설,145,0,0.0
10000,교육연구시설,141,0,0.0
05203,공회당,140,0,0.0
07210,복합유통게임제공업의시설,139,0,0.0
04033,소개업소,138,0,0.0
06109,납골당(제2종근생 제외),136,0,0.0
08006,종합여객시설,136,0,0.0
04302,음악당,135,0,0.0
04027,복합유통게임제공업소,135,0,0.0
26005,화장시설,134,0,0.0
16011,무도학원,133,0,0.0
33999,"기타국방,군사시설",132,0,0.0
20000,자동차관련시설,128,0,0.0
05204,마권장외발매소,123,0,0.0
13007,에어로빅장,123,0,0.0
08002,화물터미널,122,0,0.0
04206,수녀원,119,0,0.0
17307,물품 건조공장,119,0,0.0
16010,무도장,115,0,0.0
21206,동물검역소,112,0,0.0
04301,극장(영화관),112,0,0.0
17303,물품 염색공장,110,0,0.0
07399,기타도매시장,109,0,0.0
15203,한국전통호텔,109,0,0.0
14103,외국공관,108,0,0.0
05200,집회장,105,0,0.0
04047,기타게임시설,104,0,0.0
07205,인터넷컴퓨터게임시설제공업소,103,0,0.0
15200,관광숙박시설,102,0,0.0
26001,화장장,102,0,0.0
