기타_용도_분리,Total_Count
계단실및물탱크실,1079
물류창고,1077
놀이형시설,1075
2실,1072
11세대,1072
기타숙박시설,1069
폐기물처리시설및폐기물감량화시설,1067
발전기,1065
초소,1056
기타제1종근생활시설,1055
2가구용,1054
68,1052
33,1051
일반교실,1050
연구시설,1046
한우,1046
콤프레샤실,1045
c,1043
저장조,1040
95,1031
서고,1029
단지형연립,1029
기타교육연구시설,1028
정비고,1028
유스호스텔,1026
노래방,1026
항만시설,1021
apt,1020
분뇨처리시설,1018
승강장,1017
콘도미니엄,1017
부속시설,1014
72,1013
헬스크럽,1011
9호,1010
기도실,1009
집회장,1008
폐기물처분시설,1007
주차시설,1004
84,998
층별용도,997
원장에,997
미기재,997
옥탑계단실,995
주민회의실,993
새마을회관,990
42,990
76,988
보일라실,987
침술원,983
세면장,982
기계식주차,981
연면적제외임,981
감시실,978
방재센터,977
부속실,977
톱밥발효우사,976
피난안전구역,975
35,973
위험물창고,971
다락방,969
취사장,969
계단실등,969
양어시설,965
31,965
기타제2종근생활시설,962
농산시설,958
교육장,958
대학,957
제품창고,955
묘지관련시설,955
공공도서관,950
본관,950
재활용품창고,948
교육시설,947
원룸형다세대,942
기타근린생활시설,942
직원휴게실,941
양어장,940
농산물간이집하장,939
34,939
축,938
퇴비저장소,938
기타운동시설,937
석유판매소,936
97,935
집배송시설,929
위험물,928
게스트하우스,928
45,925
집회실,920
탕비실,918
농수산물보관창고,917
산후조리원,916
구판장,916
주차램프,916
공용면적,915
구매,913
합숙소,907
car,905
66,905
돈분장,904
04,903
우산각,903
90,900
국방군사시설,894
46,892
전시시설,889
08,889
38,883
식품공장,882
도시형공장,880
판매,879
침실,879
7실,879
일반목욕탕,878
실외기실,877
기사대기실,876
시험실,875
벽체,874
퇴비장,872
ev기계실,865
배수장,863
창고및보일러실,861
대피시설,860
재활용창고,860
제1종근린생활,859
공항시설,858
39,857
마을공동구판장,856
클럽하우스,854
직원식당,853
공용부분,853
발코니,853
판매장,852
중앙감시실,851
82,850
oh,850
65,849
99,849
탁아소,849
피트연결통로,846
종각,840
94,840
98,838
54,837
58,836
교수연구실,834
78,834
무도학원,832
기계식,830
조정실,829
1층,828
농산물가공처리시설,828
대형점,826
93,823
층수제외,819
옥외화장실,818
55,818
한우사,815
공동,814
유해공장,813
관람석,810
이발소,810
가스정압실,809
폐수처리시설,805
부엌,804
철도시설,804
송풍실,801
린넨실,800
4층1가구,799
버섯,797
팬룸,795
49,794
3가구용,791
소독실,791
74,788
62,787
41,786
면사무소,784
근생시설,782
관람집회시설,779
13세대,779
여,779
2종근린생활,777
59,776
9가구,774
통신시설,774
대피소및,773
농산물가공시설,772
소형주택,770
부속사무실,768
70,767
생활형숙박시설,766
학교교사,765
원룸형4세대,764
농기계,764
상층,764
1종근생,763
공공용시설,763
1가구용,760
협동주택,760
신청,756
t,756
조리실,755
85,754
기념관,752
헬스클럽,750
공공시설,750
37,749
83,749
잡화점,745
농산물저온창고,744
53,741
예배당,740
청소년문화의집,736
d,734
건가실,734
백화점,734
51,732
지하층,732
오피스텔용,732
복층형,730
체험장,729
5층,728
91,728
실내골프연습장,728
47,726
에어로빅장,724
02,723
89,722
안마원,722
연쇄점,721
86,721
점,721
8실,721
기타판매시설,717
43,716
63,715
61,712
운전학원,710
단지형다세대2세대,708
축사및창고,708
운동장,707
가동,707
화장실및창고,707
기타공용,702
포함,700
57,698
원룸,694
헬스장,693
방송국,692
일반주택,690
변,686
수도원,685
매표소,685
부속주차장,685
11호,683
테니스장,683
파고라,682
외국어학원,680
73,678
공동작업장,678
14세대,677
육계사,674
77,671
휘트니스,669
운전실,669
운전보안시설,667
다가구단독주택,667
전문대학,666
79,665
동물미용실,664
휴계실,664
시청각실,663
마을공동창고,662
71,661
카센타,660
남,657
나동,657
하층,656
출판사,655
청소년수련관,654
67,652
가스저장고,651
다과점,650
대피실및,648
계분발효장,648
납골당,647
공관,647
커피숍,646
퇴비저장실,645
청사,645
문서고,645
치과병원,645
축양장,644
리프트,643
주민카페,643
청소년게임제공업의시설,642
원룸형도시형생활주택,642
행정실,640
06,638
복합유통게임제공업소,637
통신기계실,634
인쇄소,633
81,633
용역원실,632
05,631
병실,631
69,630
생활,630
피,630
주민공동이용시설,627
복도계단,626
1종근린생활,625
1실,622
방송실,622
노인복지주택,621
훈련시설,621
원두막,621
양계,620
주유대,620
위험물저장창고,619
마사,619
펌프,618
농업인창고,614
주차,612
장애인복지시설,612
목공소,612
사장실,612
작전,611
기타교정및군사시설,610
87,609
101호,609
주기장,608
12호,607
재배사,606
식품제조업소,606
산정,605
농산물판매장,605
원룸형아파트,604
관,604
강습소,602
농산물저장창고,597
옥상,596
촬영소,595
영업장,594
매장,593
램프,592
펜션,592
포장실,591
기타공연장,590
세대창고,590
03,590
싸이로,590
젖소,588
폐기물감량화시설,586
휴게시설,584
경비동,583
소방펌프실,583
자료실,583
기타발전시설,582
주택2세대,582
철도역사,581
기타시설,580
차양,580
교수실,579
피트니스,577
부품창고,577
보일러실및창고,577
방갈로,577
제어실,577
근린생활시설및,574
소방파출소,573
전문음식점,573
축분처리장,571
교,571
01,570
승마장,569
체육시설,569
극장,565
학교시설,564
다락층,563
육묘장,562
재가노인복지시설,562
연면적미포함,561
일용품,560
봉안당,559
양곡창고,557
구령대,557
피아노학원,557
원룸형다세대주택,556
감귤창고,556
청소년전자유기장,556
농가부속사,556
eps,555
대회의실,555
건강원,554
야적장,551
학생회관,551
경비실1,550
정비실,547
다세대2,546
열람실,545
조산소,545
기타노유자시설,545
방가로,544
임대,543
공장시설,543
대,543
다목적체육관,542
07,541
연회장,541
공용부,541
유기장,540
부화장,537
탄약고,535
농사용,535
식품제조업,533
농산물가공공장,533
농업생산,533
종탑,532
영육아보육시설,532
곤충사육장,530
펌프장,530
폐기물보관소,530
기타문화및집회시설,529
염소사,529
입원실,527
약품창고,526
1동,526
가스저장실,525
계단실및화장실,525
주민자치센터,525
간부숙소,523
곤충사육시설,522
09,522
양봉,518
전화국,517
주택3가구,517
설비시설,516
부속차고,514
무기고,514
소예배실,513
휴게공간,512
수퍼마켓,512
기타위험물저장처리시설,512
퇴비,511
공용시설,510
근로복지시설,510
9실,509
마을정자,509
회의장,508
복지관,506
w,505
탈수기실,505
간이주점,504
차,503
전망대,502
곤충사육,501
당,501
c동,500
외,498
열교환기실,497
분리수거장,497
m,497
농업용시설,495
집회소,495
비,495
1970,495
장옥,494
물품보관창고,493
1960,493
농산물저온저장고,493
하수처리시설,493
저장시설,492
단지형다세대주택2세대,492
냉장실,492
대예배실,490
상담실,490
카페,489
지층,489
피아노교습소,488
피트니스센터,488
기타관광휴게시설,486
주택부속창고,485
건가시설,485
제2근린생활시설,485
북카페,484
다가구주택4가구,483
생활편의시설,482
경비실2,482
산막,481
공중목욕탕,481
휴양펜션,480
준비실,479
비상발전기실,478
속셈학원,477
창고및축사,477
주민편의시설,476
주택및소매점,475
102호,475
ele,474
전시관,473
건축면적,473
착유장,473
쓰레기처리장,472
201호,472
대합실,471
도축장,471
위험물저장처리시설,469
16호,467
퇴비저장고,467
라운지,465
부수되는,465
다가구주택3가구,465
노인의료복지시설,464
액화석유가스판매소,463
전산실,463
gx룸,461
기타자동차관련시설,461
13호,460
차고지,460
자전거보관소,459
건초창고,458
농산물보관,457
수산물가공공장,455
저탄장,455
3층1가구,454
병영생활관,453
가옥,453
게단실,452
마을모정,451
어업용창고,450
주차리프트,450
접견실,449
102동,448
예능계,448
멀티프로그램실,447
계,445
자동차정비공장,444
식,444
주민복지관,443
소방차고,443
계단실및,443
오락실,442
염소,442
제2종근생활시설,442
원룸형3세대,441
테라스,440
서재,439
가스실,439
정신병원,437
거실,437
가압장,437
대중목욕탕,437
공장및창고,436
건조기,436
4가구용,435
부속주택,435
식물재배사,434
공용창고,434
저장창고,433
현장사무실,433
하수처리장,432
기타아동관련시설,432
위험물판매취급소,432
101동,432
양돈,432
행정시설,431
교육연구및,431
사우나,429
지하대피실,429
출하장,428
진료실,428
주거용오피스텔,427
부,427
공용화장실,427
식품가공공장,423
황토방,423
교리실,421
16세대,420
제조,420
퇴비저장조,420
사료보관창고,420
교사실,418
저온,417
업무,417
계단실및기계실,416
택배보관실,416
변소및,416
출입구,414
제재소,413
편의시설,413
위험물옥내저장소,412
대강당,412
정각,411
1978,411
농기계공동보관창고,410
기타분뇨쓰레기처리시설,410
개수대,410
pc방,410
물놀이형시설,409
컴퓨터실,407
아파트4세대,407
컴퓨터학원,407
소각장,406
자동차,406
